camp       1458	CTR        0.0838  %
                    	                CMDP	          batch-CMDP	                 lin	                mcpc	         rlb-compete	                 win
           multi_clk	               101.0	               100.0	               367.0	                55.0	               361.0	                 0.0
          multi_cost	            129541.0	            110285.0	            162671.0	             29423.0	            232997.0	                 0.0
          multi_ecpc	  1282.5841584158416	             1102.85	   443.2452316076294	   534.9636363636364	    645.421052631579	                 0.0
           multi_imp	              3512.0	              3350.0	               700.0	               216.0	              2978.0	                 0.0
          single_clk	                 2.0	                14.0	                46.0	                 9.0	                28.0	                43.0
         single_cost	            349123.0	           1036498.0	             24472.0	           1459818.0	            781895.0	          10977627.0
         single_ecpc	            174561.5	   74035.57142857143	               532.0	            162202.0	  27924.821428571428	   255293.6511627907
          single_imp	              4755.0	             41783.0	                84.0	             30991.0	             13741.0	            518469.0
          total_ecpc	   4647.223300970873	             10059.5	  453.13075060532685	        23269.390625	  2608.9768637532134	                 0.0
camp       2259	CTR        0.0312  %
                    	                CMDP	          batch-CMDP	                 lin	                mcpc	         rlb-compete	                 win
           multi_clk	                 0.0	                 0.0	                 1.0	                 1.0	                 0.0	                 0.0
          multi_cost	             22352.0	             17878.0	             28346.0	             20201.0	             48273.0	                 0.0
          multi_ecpc	                 0.0	                 0.0	             28346.0	             20201.0	                 0.0	                 0.0
           multi_imp	              1351.0	               541.0	               239.0	                99.0	              1934.0	                 0.0
          single_clk	                 2.0	                 4.0	                 6.0	                 6.0	                10.0	               101.0
         single_cost	            304055.0	            764858.0	           1467089.0	           1542716.0	           1050988.0	           9719752.0
         single_ecpc	            152027.5	            191214.5	  244514.83333333334	  257119.33333333334	            105098.8	   96235.16831683168
          single_imp	              9236.0	             17523.0	             21742.0	             15602.0	             22386.0	            328630.0
          total_ecpc	            163203.5	            195684.0	  213633.57142857142	  223273.85714285713	            109926.1	                 0.0
camp       2261	CTR        0.0282  %
                    	                CMDP	          batch-CMDP	                 lin	                mcpc	         rlb-compete	                 win
           multi_clk	                 0.0	                 0.0	                 3.0	                 0.0	                 3.0	                 0.0
          multi_cost	             50647.0	             42789.0	            570587.0	              3873.0	            594162.0	                 0.0
          multi_ecpc	                 0.0	                 0.0	  190195.66666666666	                 0.0	            198054.0	                 0.0
           multi_imp	              4394.0	              3349.0	             21753.0	               138.0	             23928.0	                 0.0
          single_clk	                 3.0	                 2.0	                 1.0	                 3.0	                 2.0	                83.0
         single_cost	            281524.0	            438750.0	            630156.0	           1132609.0	            253154.0	           5807097.0
         single_ecpc	   93841.33333333333	            219375.0	            630156.0	   377536.3333333333	            126577.0	   69965.02409638555
          single_imp	              7826.0	             16333.0	             10429.0	             21304.0	              5934.0	            255892.0
          total_ecpc	  110723.66666666667	            240769.5	           300185.75	   378827.3333333333	            169463.2	                 0.0
camp       2821	CTR        0.0571  %
                    	                CMDP	          batch-CMDP	                 lin	                mcpc	         rlb-compete	                 win
           multi_clk	                 0.0	                 2.0	                 5.0	                 0.0	                 3.0	                 0.0
          multi_cost	             55702.0	             88416.0	            565912.0	              2269.0	            596880.0	                 0.0
          multi_ecpc	                 0.0	             44208.0	            113182.4	                 0.0	            198960.0	                 0.0
           multi_imp	              3519.0	              2103.0	             21633.0	                36.0	             24164.0	                 0.0
          single_clk	                 2.0	                17.0	                10.0	                21.0	                11.0	               312.0
         single_cost	            247841.0	           1488758.0	            738511.0	           2056150.0	            938836.0	          16962728.0
         single_ecpc	            123920.5	             87574.0	             73851.1	   97911.90476190476	   85348.72727272728	  54367.717948717946
          single_imp	             10420.0	             20648.0	             17447.0	             35178.0	             31227.0	            521885.0
          total_ecpc	            151771.5	   83009.15789473684	   86961.53333333334	   98019.95238095238	            109694.0	                 0.0
camp       2997	CTR        0.3396  %
                    	                CMDP	          batch-CMDP	                 lin	                mcpc	         rlb-compete	                 win
           multi_clk	                 5.0	                 3.0	                 0.0	                 0.0	                 7.0	                 0.0
          multi_cost	             21825.0	             18499.0	                 0.0	                95.0	             22784.0	                 0.0
          multi_ecpc	              4365.0	   6166.333333333333	                 0.0	                 0.0	  3254.8571428571427	                 0.0
           multi_imp	              2736.0	              2369.0	                 0.0	                11.0	              2753.0	                 0.0
          single_clk	                 4.0	                10.0	                 0.0	                45.0	                48.0	               416.0
         single_cost	             10792.0	             34502.0	                 0.0	            335554.0	            276505.0	           2046759.0
         single_ecpc	              2698.0	              3450.2	                 0.0	  7456.7555555555555	   5760.520833333333	          4920.09375
          single_imp	              1051.0	              3718.0	                 0.0	             15560.0	             25799.0	            106493.0
          total_ecpc	  3624.1111111111113	              4077.0	                 0.0	   7458.866666666667	   5441.618181818182	                 0.0
camp       3358	CTR        0.0864  %
                    	                CMDP	          batch-CMDP	                 lin	                mcpc	         rlb-compete	                 win
           multi_clk	                15.0	                15.0	               165.0	                34.0	               165.0	                 0.0
          multi_cost	             51145.0	             55403.0	            499803.0	            102627.0	            495714.0	                 0.0
          multi_ecpc	  3409.6666666666665	  3693.5333333333333	   3029.109090909091	  3018.4411764705883	   3004.327272727273	                 0.0
           multi_imp	               738.0	               541.0	              2921.0	               394.0	              2585.0	                 0.0
          single_clk	                 2.0	                 3.0	                15.0	                11.0	                14.0	                35.0
         single_cost	             40260.0	            323626.0	            268002.0	            868255.0	            295516.0	           6661663.0
         single_ecpc	             20130.0	  107875.33333333333	             17866.8	   78932.27272727272	  21108.285714285714	  190333.22857142857
          single_imp	               884.0	              4073.0	              3000.0	             11909.0	              4501.0	            273242.0
          total_ecpc	   5376.764705882353	  21057.166666666668	   4265.583333333333	  21575.155555555557	  4420.2793296089385	                 0.0
camp       3386	CTR        0.0816  %
                    	                CMDP	          batch-CMDP	                 lin	                mcpc	         rlb-compete	                 win
           multi_clk	                14.0	                17.0	                32.0	                 5.0	                35.0	                 0.0
          multi_cost	            101743.0	            131862.0	            128617.0	             20683.0	            231547.0	                 0.0
          multi_ecpc	   7267.357142857143	   7756.588235294118	          4019.28125	              4136.6	   6615.628571428571	                 0.0
           multi_imp	              3359.0	              3266.0	               489.0	               102.0	              3947.0	                 0.0
          single_clk	                13.0	                14.0	                 8.0	                22.0	                19.0	               326.0
         single_cost	            383645.0	            597023.0	             44880.0	           1348643.0	            895304.0	          11761410.0
         single_ecpc	  29511.153846153848	             42644.5	              5610.0	  61301.954545454544	   47121.26315789474	   36077.94478527607
          single_imp	              3803.0	             11668.0	               152.0	             26847.0	             22337.0	            475800.0
          total_ecpc	  17977.333333333332	   23512.41935483871	            4337.425	   50715.77777777778	   20867.61111111111	                 0.0
camp       3427	CTR        0.0682  %
                    	                CMDP	          batch-CMDP	                 lin	                mcpc	         rlb-compete	                 win
           multi_clk	                52.0	                52.0	               160.0	                45.0	               160.0	                 0.0
          multi_cost	            103603.0	            114826.0	            599046.0	            156829.0	            568551.0	                 0.0
          multi_ecpc	  1992.3653846153845	  2208.1923076923076	           3744.0375	   3485.088888888889	          3553.44375	                 0.0
           multi_imp	               919.0	              1343.0	              5445.0	               616.0	              5720.0	                 0.0
          single_clk	                 2.0	                 8.0	                15.0	                 9.0	                66.0	                54.0
         single_cost	            154194.0	            509358.0	            952361.0	           1500409.0	            671910.0	           9591576.0
         single_ecpc	             77097.0	            63669.75	   63490.73333333333	  166712.11111111112	  10180.454545454546	  177621.77777777778
          single_imp	              1659.0	              8992.0	             10027.0	             27846.0	              9933.0	            471638.0
          total_ecpc	   4774.018518518518	  10403.066666666668	   8865.182857142858	   30689.59259259259	   5488.765486725663	                 0.0
camp       3476	CTR        0.0548  %
                    	                CMDP	          batch-CMDP	                 lin	                mcpc	         rlb-compete	                 win
           multi_clk	                26.0	                23.0	                55.0	                17.0	                58.0	                 0.0
          multi_cost	            136916.0	            124540.0	            112411.0	             82313.0	            179477.0	                 0.0
          multi_ecpc	              5266.0	   5414.782608695652	  2043.8363636363636	   4841.941176470588	  3094.4310344827586	                 0.0
           multi_imp	              2549.0	              2000.0	               758.0	               383.0	              1427.0	                 0.0
          single_clk	                11.0	                29.0	                46.0	                16.0	                39.0	                63.0
         single_cost	            366994.0	            745782.0	            119017.0	           1563263.0	           1162352.0	           6772639.0
         single_ecpc	   33363.09090909091	  25716.620689655174	  2587.3260869565215	          97703.9375	  29803.897435897437	  107502.20634920635
          single_imp	              5809.0	              8206.0	               969.0	             22444.0	             18757.0	            464241.0
          total_ecpc	   13619.18918918919	   16736.96153846154	   2291.366336633663	   49865.93939393939	  13833.288659793814	                 0.0
